Date,NFLX,AAPL,MSFT,GOOG
11/26/2019,312.48999,64.287926,146.231461,65.677498
11/27/2019,315.929993,65.151436,146.510422,65.649498
11/29/2019,314.660004,65.007927,145.606277,65.248001
12/2/2019,309.98999,64.256294,143.846024,64.496002
12/3/2019,306.160004,63.110596,143.615204,64.764
12/4/2019,304.320007,63.667629,144.134613,66.027
12/5/2019,302.859985,64.601707,144.211533,66.406502
12/6/2019,307.350006,65.849571,145.962143,67.030998
12/9/2019,302.5,64.92765,145.587006,67.178001
12/10/2019,293.119995,65.307114,145.365814,67.233002
12/11/2019,298.929993,65.864151,145.914078,67.250999
12/12/2019,298.440002,66.032005,147.395294,67.513496
12/13/2019,298.5,66.929573,148.636124,67.391502
12/16/2019,304.209991,68.075287,149.597977,68.058502
12/17/2019,315.480011,68.209068,148.789993,67.755997
12/18/2019,320.799988,68.046089,148.482193,67.630997
12/19/2019,332.220001,68.114189,149.771103,67.802002
12/20/2019,336.899994,67.973114,151.406265,67.4795
12/23/2019,333.100006,69.082321,151.406265,67.442001
12/24/2019,333.200012,69.147995,151.377396,67.178001
12/26/2019,332.630005,70.519928,152.61821,68.019997
12/27/2019,329.089996,70.493149,152.897156,67.594498
12/30/2019,323.309998,70.911545,151.579422,66.806999
12/31/2019,323.570007,71.429657,151.685211,66.850998
1/2/2020,329.809998,73.059425,154.493835,68.3685
1/3/2020,325.899994,72.349136,152.570129,68.032997
1/6/2020,335.829987,72.925629,152.964493,69.710503
1/7/2020,330.75,72.582664,151.569763,69.667
1/8/2020,339.26001,73.750252,153.984055,70.216003
1/9/2020,335.660004,75.316772,155.907791,70.991501
1/10/2020,329.049988,75.487045,155.186356,71.486504
1/13/2020,338.920013,77.09977,157.052353,71.961502
1/14/2020,338.690002,76.058662,155.946243,71.543999
1/15/2020,339.070007,75.732697,156.956146,71.959999
1/16/2020,338.619995,76.681374,159.832169,72.584999
1/17/2020,339.670013,77.530327,160.726669,74.019501
1/21/2020,338.109985,77.00489,160.149567,74.220001
1/22/2020,326,77.279755,159.380081,74.297501
